Strategy,Start Date,End Date,Initial Capital,Final Funds,Total Profit,Annualized Return (user_formula),CAGR (by dates),Sharpe Ratio,Max Drawdown (%),Win Rate (%),Calmar Ratio
Soybean Meal,2023-10-12,2025-04-29,50000.000000,170599.400000,120599.400000,84.715673,121.085899,4.307862,-45.201817,54.545455,2.678784
Soybean Oil,2023-07-28,2025-04-29,50000.000000,88110.000000,38110.000000,32.747881,38.102811,4.418037,-16.975832,55.555556,2.244533
